Date,Close
9/14/2016,117.45
9/15/2016,118.17
9/16/2016,114.63
9/19/2016,115.07
9/20/2016,116.46
9/21/2016,119.45
9/22/2016,120.8
9/23/2016,117.66
9/26/2016,117.1
9/27/2016,118.32
9/28/2016,117.63
9/29/2016,115.99
9/30/2016,116.06
10/3/2016,115.26
10/4/2016,115.33
10/5/2016,117.07
10/6/2016,116.44
10/7/2016,115.89
10/10/2016,116.42
10/11/2016,115.32
10/12/2016,115.15
10/13/2016,114.69
10/14/2016,115.09
10/17/2016,115.43
10/18/2016,115.05
10/19/2016,114.89
10/20/2016,116.14
10/21/2016,115.27
10/24/2016,115.45
10/25/2016,115.25
10/26/2016,115.5
10/27/2016,114.85
10/28/2016,114.81
10/31/2016,115.66
11/1/2016,114.73
11/2/2016,113.38
11/3/2016,113.17
11/4/2016,110.56
11/7/2016,112.48
11/8/2016,113.81
11/9/2016,111.81
11/10/2016,110.86
11/11/2016,111.95
11/14/2016,111.78
11/15/2016,112.49
11/16/2016,112.57
11/17/2016,113.24
11/18/2016,114.04
11/21/2016,114.51
11/22/2016,113.78
11/23/2016,114.51
11/25/2016,117.8
11/28/2016,117.65
11/29/2016,118.3
11/30/2016,118.53
12/1/2016,117.77
12/2/2016,116.83
12/5/2016,117.56
12/6/2016,117.88
12/7/2016,121.46
12/8/2016,122.81
12/9/2016,122.98
12/12/2016,121.86
12/13/2016,123.07
12/14/2016,121.06
12/15/2016,121.98
12/16/2016,121
12/19/2016,121.84
12/20/2016,121.67
12/21/2016,121.11
12/22/2016,120.66
12/23/2016,120.9
12/27/2016,119.39
12/28/2016,118.42
12/29/2016,117.04
12/30/2016,117.2
1/3/2017,118.55
1/4/2017,121.19
1/5/2017,120.44
1/6/2017,120.13
1/9/2017,119.74
1/10/2017,119.76
1/11/2017,119.91
1/12/2017,119.64
1/13/2017,119.81
1/17/2017,118.41
1/18/2017,118.79
1/19/2017,119.31
1/20/2017,118.92
1/23/2017,118.29
1/24/2017,117.64
1/25/2017,119.06
1/26/2017,118.98
1/27/2017,116.69
1/30/2017,116.07
1/31/2017,115.75
2/1/2017,115.26
2/2/2017,114.53
2/3/2017,115.12
2/6/2017,113.31
2/7/2017,113.04
2/8/2017,113.27
2/9/2017,111.92
2/10/2017,112.89
2/13/2017,114.13
2/14/2017,114.47
2/15/2017,113.61
2/16/2017,113.35
2/17/2017,113.7
2/21/2017,114.3
2/22/2017,114.4
2/23/2017,114.59
2/24/2017,113.77
2/27/2017,114.24
2/28/2017,113.15
3/1/2017,114.74
3/2/2017,113.39
3/3/2017,113.34
3/6/2017,112.91
3/7/2017,112.65
3/8/2017,111.8
3/9/2017,112.19
3/10/2017,112.66
3/13/2017,113.4
3/14/2017,112.09
3/15/2017,113.24
3/16/2017,113.24
3/17/2017,112.21
3/20/2017,112
3/21/2017,111.39
3/22/2017,110.83
3/23/2017,110.51
3/24/2017,111.36
3/27/2017,111.73
3/28/2017,112.41
3/29/2017,110.25
3/30/2017,110.06
3/31/2017,108.62
4/3/2017,108.52
4/4/2017,108.01
4/5/2017,106.14
4/6/2017,105.5
4/7/2017,105.91
4/10/2017,105.98
4/11/2017,106.4
4/12/2017,105.44
4/13/2017,104.18
4/17/2017,106.12
4/18/2017,105.32
4/19/2017,104.62
4/20/2017,106
4/21/2017,106.58
4/24/2017,106.99
4/25/2017,108.72
4/26/2017,109.91
4/27/2017,109.41
4/28/2017,108.14
5/1/2017,108.3
5/2/2017,109.24
5/3/2017,108.87
5/4/2017,109.16
5/5/2017,109.91
5/8/2017,110.19
5/9/2017,108.46
